,Model,Displ,Cyl,Trans,Drive,Fuel,Region,Stnd,Description,ID,Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
109,AUDI RS Q8,4.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ04.0NAT,standard SUV,3,13,19,15,2,No,579
110,AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV02.5NAG,small car,3,19,28,23,5,No,392
111,AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAV02.5NAG,small car,3,19,28,23,5,No,392
112,AUDI S3,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV02.0AAB,small car,3,22,29,25,5,No,358
113,AUDI S3,2.0,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAV02.0AAB,small car,3,22,29,25,5,No,358
114,AUDI S4,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAJ03.0N7F,small car,5,20,27,23,5,No,393
115,AUDI S4,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAJ03.0N7F,small car,5,20,27,23,5,No,393
116,AUDI S5,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAJ03.0N7F,small car,5,20,27,23,5,No,393
117,AUDI S5,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAJ03.0N7F,small car,5,20,27,23,5,No,393
118,AUDI S5 Cabriolet,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAJ03.0N7F,small car,5,19,26,22,4,No,405
119,AUDI S5 Cabriolet,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAJ03.0N7F,small car,5,19,26,22,4,No,405
120,AUDI S5 Sportback,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAJ03.0N7F,midsize car,5,20,27,23,5,No,393
121,AUDI S5 Sportback,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAJ03.0N7F,midsize car,5,20,27,23,5,No,393
122,AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
123,AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
124,AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
125,AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
126,AUDI S8,4.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAJ04.0NAT,large car,3,13,22,16,2,No,545
